CellType	Metagene
CD8Tcell	CD96
CD8Tcell	CRTAM
CD8Tcell	CST7
CD8Tcell	CTSW
CD8Tcell	DPP4
CD8Tcell	DSC1
CD8Tcell	DUSP2
CD8Tcell	FAIM3
CD8Tcell	FLT3LG
CD8Tcell	GNLY
CD8Tcell	GPR171
CD8Tcell	GRAP2
CD8Tcell	GZMA
CD8Tcell	GZMB
CD8Tcell	GZMH
CD8Tcell	GZMK
CD8Tcell	GZMM
CD8Tcell	ICOS
CD8Tcell	IGKC
CD8Tcell	IL7R
CD8Tcell	ITK
CD8Tcell	KLRB1
CD8Tcell	KLRC3
CD8Tcell	KLRC4
CD8Tcell	KLRD1
CD8Tcell	KLRF1
CD8Tcell	KLRK1
CD8Tcell	LAG3
CD8Tcell	LCK
CD8Tcell	LEF1
CD8Tcell	LIME1
CD8Tcell	LTB
CD8Tcell	LY9
CD8Tcell	MAP4K1
CD8Tcell	MAP9
CD8Tcell	NCR3
CD8Tcell	NKG7
CD8Tcell	PIK3IP1
CD8Tcell	PRF1
CD8Tcell	PTGDR
CD8Tcell	PTPRCAP
CD8Tcell	PVRIG
CD8Tcell	RASA3
CD8Tcell	RPL3P7
CD8Tcell	SH2D1A
CD8Tcell	SIRPG
CD8Tcell	TCF7
CD8Tcell	TRAC
CD8Tcell	TRAT1
CD8Tcell	TRAV12-2
CD8Tcell	TRAV13-1
CD8Tcell	TRBC1
CD8Tcell	TRDC
CD8Tcell	UBASH3A
CD8Tcell	ZAP70
NaiveCD4Tcell	ACAP1
NaiveCD4Tcell	ANKRD55
NaiveCD4Tcell	ATHL1
NaiveCD4Tcell	BCL11B
NaiveCD4Tcell	CCR7
NaiveCD4Tcell	CD2
NaiveCD4Tcell	CD247
NaiveCD4Tcell	CD27
NaiveCD4Tcell	CD3D
NaiveCD4Tcell	CD3G
NaiveCD4Tcell	CD40LG
NaiveCD4Tcell	CD7
NaiveCD4Tcell	CXorf57
NaiveCD4Tcell	DPP4
NaiveCD4Tcell	DSC1
NaiveCD4Tcell	EPHA1
NaiveCD4Tcell	FAIM3
NaiveCD4Tcell	FLJ13197
NaiveCD4Tcell	FLT3LG
NaiveCD4Tcell	GAL3ST4
NaiveCD4Tcell	GALR1
NaiveCD4Tcell	GPR1
NaiveCD4Tcell	GRAP2
NaiveCD4Tcell	GZMM
NaiveCD4Tcell	ICOS
NaiveCD4Tcell	IL7R
NaiveCD4Tcell	ITK
NaiveCD4Tcell	LAT
NaiveCD4Tcell	LCK
NaiveCD4Tcell	LEF1
NaiveCD4Tcell	LIME1
NaiveCD4Tcell	LTB
NaiveCD4Tcell	LY9
NaiveCD4Tcell	MAP4K1
NaiveCD4Tcell	MAP4K2
NaiveCD4Tcell	MAP9
NaiveCD4Tcell	RASGRP2
NaiveCD4Tcell	RPL3P7
NaiveCD4Tcell	SERGEF
NaiveCD4Tcell	SH2D1A
NaiveCD4Tcell	SIRPG
NaiveCD4Tcell	TCF7
NaiveCD4Tcell	TRAC
NaiveCD4Tcell	TRAT1
NaiveCD4Tcell	TRAV13-1
NaiveCD4Tcell	TRBC1
NaiveCD4Tcell	UBASH3A
NaiveCD4Tcell	VILL
NaiveCD4Tcell	WNT7A
NaiveCD4Tcell	ZAP70
NaiveCD4Tcell	ZNF204P
NaiveCD4Tcell	ZNF324
RestingmemoryCD4Tcell	BCL11B
RestingmemoryCD4Tcell	CCL5
RestingmemoryCD4Tcell	CCR6
RestingmemoryCD4Tcell	CD2
RestingmemoryCD4Tcell	CD247
RestingmemoryCD4Tcell	CD27
RestingmemoryCD4Tcell	CD28
RestingmemoryCD4Tcell	CD3D
RestingmemoryCD4Tcell	CD3E
RestingmemoryCD4Tcell	CD3G
RestingmemoryCD4Tcell	CD4
RestingmemoryCD4Tcell	CD40LG
RestingmemoryCD4Tcell	CD6
RestingmemoryCD4Tcell	CD69
RestingmemoryCD4Tcell	CD7
RestingmemoryCD4Tcell	CD96
RestingmemoryCD4Tcell	CTLA4
RestingmemoryCD4Tcell	CTSW
RestingmemoryCD4Tcell	DGKA
RestingmemoryCD4Tcell	DPP4
RestingmemoryCD4Tcell	EPB41
RestingmemoryCD4Tcell	ETS1
RestingmemoryCD4Tcell	FAIM3
RestingmemoryCD4Tcell	FBXL8
RestingmemoryCD4Tcell	FLT3LG
RestingmemoryCD4Tcell	GPR171
RestingmemoryCD4Tcell	GPR25
RestingmemoryCD4Tcell	GRAP2
RestingmemoryCD4Tcell	GZMA
RestingmemoryCD4Tcell	GZMK
RestingmemoryCD4Tcell	GZMM
RestingmemoryCD4Tcell	ICOS
RestingmemoryCD4Tcell	IL7R
RestingmemoryCD4Tcell	ITK
RestingmemoryCD4Tcell	KLRB1
RestingmemoryCD4Tcell	LCK
RestingmemoryCD4Tcell	LEF1
RestingmemoryCD4Tcell	LIME1
RestingmemoryCD4Tcell	LTB
RestingmemoryCD4Tcell	LY9
RestingmemoryCD4Tcell	NKG7
RestingmemoryCD4Tcell	PBXIP1
RestingmemoryCD4Tcell	PTGER2
RestingmemoryCD4Tcell	PTPRCAP
RestingmemoryCD4Tcell	RASA3
RestingmemoryCD4Tcell	RASGRP2
RestingmemoryCD4Tcell	RCAN3
RestingmemoryCD4Tcell	RPL10L
RestingmemoryCD4Tcell	RPL3P7
RestingmemoryCD4Tcell	SH2D1A
RestingmemoryCD4Tcell	SIRPG
RestingmemoryCD4Tcell	ST8SIA1
RestingmemoryCD4Tcell	TCF7
RestingmemoryCD4Tcell	TRAC
RestingmemoryCD4Tcell	TRAT1
RestingmemoryCD4Tcell	TRAV13-1
RestingmemoryCD4Tcell	TRAV13-2
RestingmemoryCD4Tcell	TRAV21
RestingmemoryCD4Tcell	TRAV8-6
RestingmemoryCD4Tcell	TRAV9-2
RestingmemoryCD4Tcell	TRBC1
RestingmemoryCD4Tcell	UBASH3A
RestingmemoryCD4Tcell	ZAP70
RestingmemoryCD4Tcell	ZFP36L2
ActivatememoryCD4Tcell	CCL20
ActivatememoryCD4Tcell	CD2
ActivatememoryCD4Tcell	CD247
ActivatememoryCD4Tcell	CD28
ActivatememoryCD4Tcell	CD3D
