cluster	gene
Bladder cell(Bladder)	Ube2l6
Bladder cell(Bladder)	Bmp5
Bladder cell(Bladder)	Sqstm1
Bladder cell(Bladder)	Kdelr1
Bladder cell(Bladder)	Rpn2
Bladder cell(Bladder)	Chodl
Bladder cell(Bladder)	Bicc1
Bladder cell(Bladder)	Cd34
Bladder cell(Bladder)	Camk1
Bladder cell(Bladder)	Cd200
Bladder cell(Bladder)	Tubb5
Bladder cell(Bladder)	Angptl2
Bladder cell(Bladder)	Plk2
Bladder cell(Bladder)	Spnb2
Bladder cell(Bladder)	Lepre1
Bladder cell(Bladder)	Tslp
Bladder cell(Bladder)	Sept7
Bladder cell(Bladder)	Sema3c
Bladder cell(Bladder)	Pnrc1
Bladder cell(Bladder)	Maged2
Bladder cell(Bladder)	Cd248
Bladder cell(Bladder)	Prex2
Bladder cell(Bladder)	Calm3
Bladder cell(Bladder)	Itm2a
Bladder cell(Bladder)	Degs1
Bladder cell(Bladder)	Bloc1s1
Bladder cell(Bladder)	H2-D1
Bladder cell(Bladder)	Ikbip
Bladder cell(Bladder)	Podxl2
Bladder cell(Bladder)	Rcn2
Bladder cell(Bladder)	Btg2
Bladder cell(Bladder)	Hmgb1
Bladder cell(Bladder)	Tmed1
Bladder cell(Bladder)	Pofut2
Bladder cell(Bladder)	Prss35
Bladder cell(Bladder)	Plekho2
Bladder cell(Bladder)	A430107O13Rik
Bladder cell(Bladder)	Hexa
Bladder cell(Bladder)	Ntn1
Bladder cell(Bladder)	Nfib
Bladder cell(Bladder)	Odc1
Bladder cell(Bladder)	Lhfpl2
Bladder cell(Bladder)	Rabac1
Bladder cell(Bladder)	Srp14
Bladder cell(Bladder)	Kcnk2
Bladder cell(Bladder)	Palm
Bladder cell(Bladder)	Rad51l1
Bladder cell(Bladder)	Ift20
Bladder cell(Bladder)	Osr1
Bladder cell(Bladder)	Sphk1
Bladder cell(Bladder)	Leprel4
Bladder cell(Bladder)	Sertad1
Bladder cell(Bladder)	Fam195b
Bladder cell(Bladder)	Cmtm7
Bladder cell(Bladder)	Twist2
Bladder cell(Bladder)	A4galt
Bladder cell(Bladder)	Naalad2
Bladder cell(Bladder)	Sntb2
Bladder cell(Bladder)	Dpysl2
Bladder cell(Bladder)	Praf2
Bladder cell(Bladder)	Ifnar2
Bladder cell(Bladder)	Fam176b
Bladder cell(Bladder)	Fmnl2
Bladder cell(Bladder)	Gpr124
Bladder cell(Bladder)	Itgb1
Bladder cell(Bladder)	Atp2b1
Bladder cell(Bladder)	Arhgef25
Bladder cell(Bladder)	Iigp1
Bladder cell(Bladder)	Ier3ip1
Bladder cell(Bladder)	Svep1
Bladder cell(Bladder)	Pappa
Bladder cell(Bladder)	Mrfap1
Bladder cell(Bladder)	Irf8
Bladder cell(Bladder)	Gpr153
Bladder cell(Bladder)	Gnai2
Bladder cell(Bladder)	Olfml1
Bladder cell(Bladder)	Chst12
Bladder cell(Bladder)	Pdgfrl
Bladder cell(Bladder)	Ndn
Bladder cell(Bladder)	Atf5
Bladder cell(Bladder)	Matn2
Bladder cell(Bladder)	Cnrip1
Bladder cell(Bladder)	Dap
Bladder cell(Bladder)	Ssr2
Bladder cell(Bladder)	1810006K21Rik
Bladder cell(Bladder)	Tagln
Bladder cell(Bladder)	Tmed2
Bladder cell(Bladder)	Cope
Bladder cell(Bladder)	Cfl1
Bladder cell(Bladder)	Bmp2
Bladder cell(Bladder)	Neo1
Bladder cell(Bladder)	Qpct
Bladder cell(Bladder)	Ak1
Bladder cell(Bladder)	Ywhaq
Bladder cell(Bladder)	Mylk
Bladder cell(Bladder)	Cav1
Bladder cell(Bladder)	Hic1
Bladder cell(Bladder)	Ssr3
Bladder cell(Bladder)	Fuca1
Bladder cell(Bladder)	Entpd2
Bladder cell(Bladder)	Gbp2
Bladder cell(Bladder)	Oxct1
Bladder cell(Bladder)	Abi3bp
Bladder cell(Bladder)	Ifi27l1
Bladder cell(Bladder)	Nucb2
Bladder cell(Bladder)	Hsp90b1
Bladder cell(Bladder)	St7
Bladder cell(Bladder)	H47
Bladder cell(Bladder)	Calml4
Bladder cell(Bladder)	9530068E07Rik
Bladder cell(Bladder)	Lamb2
Bladder cell(Bladder)	Hpse
Bladder cell(Bladder)	Jam3
